,variables
988, apiserver_admission_step_admission_duration_seconds_summary_13 
989, apiserver_admission_step_admission_duration_seconds_summary_14 
990, apiserver_admission_step_admission_duration_seconds_summary_15 
991, apiserver_admission_step_admission_duration_seconds_summary_16 
992, apiserver_admission_step_admission_duration_seconds_summary_17 
993, apiserver_admission_step_admission_duration_seconds_summary_18 
994, apiserver_admission_step_admission_duration_seconds_summary_19 
995, apiserver_admission_step_admission_duration_seconds_summary_20 
996, apiserver_admission_step_admission_duration_seconds_summary_21 
997, apiserver_admission_step_admission_duration_seconds_summary_22 
998, apiserver_admission_step_admission_duration_seconds_summary_23 
999, alertmanager_nflog_gc_duration_seconds_count_0 
1000, kafka_server_sessionexpirelistener_total_zookeeperauthfailurespersec_count_0 
1001, kafka_server_sessionexpirelistener_total_zookeeperauthfailurespersec_count_1 
1002, kafka_server_sessionexpirelistener_total_zookeeperauthfailurespersec_count_2 
1003, kafka_server_brokertopicmetrics_total_totalfetchrequestspersec_count_0 
1004, kafka_server_brokertopicmetrics_total_totalfetchrequestspersec_count_1 
1005, kafka_server_brokertopicmetrics_total_totalfetchrequestspersec_count_2 
1006, alertmanager_config_last_reload_successful_0 
1007, kafka_server_fetcherlagmetrics_total_consumerlag_clientid_replicafetcherthread_0_0_topic_consumer_offsets_partition_13_value_0 
1008, kafka_server_fetcherlagmetrics_total_consumerlag_clientid_replicafetcherthread_0_0_topic_consumer_offsets_partition_13_value_1 
1009, container_scrape_error_0 
1010, container_scrape_error_1 
1011, container_scrape_error_2 
1012, container_scrape_error_3 
1013, kube_namespace_created_0 
1014, kube_namespace_created_1 
1015, kube_namespace_created_2 
1016, kube_namespace_created_3 
1017, kube_namespace_created_4 
1018, kube_namespace_created_5 
1019, kube_namespace_created_6 
1020, node_memory_Active_bytes_0 
1021, node_memory_Active_bytes_1 
1022, node_memory_Active_bytes_2 
1023, java_lang_memory_heapmemoryusage_used_0 
1024, java_lang_memory_heapmemoryusage_used_1 
1025, java_lang_memory_heapmemoryusage_used_2 
1026, kafka_server_delayedoperationpurgatory_numdelayedoperations_produce_value_0 
1027, kafka_server_delayedoperationpurgatory_numdelayedoperations_produce_value_1 
1028, kafka_server_delayedoperationpurgatory_numdelayedoperations_produce_value_2 
1029, java_lang_memorypool_init_usage_compressed_class_space_0 
1030, java_lang_memorypool_init_usage_compressed_class_space_1 
1031, java_lang_memorypool_init_usage_compressed_class_space_2 
1032, kube_service_created_0 
1033, kube_service_created_1 
1034, kube_service_created_2 
1035, kube_service_created_3 
1036, kube_service_created_4 
1037, kube_service_created_5 
1038, kube_service_created_6 
1039, kube_service_created_7 
1040, kube_service_created_8 
1041, kube_service_created_9 
1042, kube_service_created_10 
1043, kube_service_created_11 
1044, kube_service_created_12 
1045, workqueue_work_duration_seconds_bucket_0 
1046, workqueue_work_duration_seconds_bucket_1 
1047, workqueue_work_duration_seconds_bucket_2 
1048, workqueue_work_duration_seconds_bucket_3 
1049, workqueue_work_duration_seconds_bucket_4 
1050, workqueue_work_duration_seconds_bucket_5 
1051, workqueue_work_duration_seconds_bucket_6 
1052, workqueue_work_duration_seconds_bucket_7 
1053, workqueue_work_duration_seconds_bucket_8 
1054, workqueue_work_duration_seconds_bucket_9 
1055, workqueue_work_duration_seconds_bucket_10 
1056, workqueue_work_duration_seconds_bucket_11 
1057, workqueue_work_duration_seconds_bucket_12 
1058, workqueue_work_duration_seconds_bucket_13 
1059, workqueue_work_duration_seconds_bucket_14 
1060, workqueue_work_duration_seconds_bucket_15 
1061, workqueue_work_duration_seconds_bucket_16 
1062, workqueue_work_duration_seconds_bucket_17 
1063, workqueue_work_duration_seconds_bucket_18 
1064, workqueue_work_duration_seconds_bucket_19 
1065, workqueue_work_duration_seconds_bucket_20 
1066, workqueue_work_duration_seconds_bucket_21 
1067, workqueue_work_duration_seconds_bucket_22 
1068, workqueue_work_duration_seconds_bucket_23 
1069, workqueue_work_duration_seconds_bucket_24 
1070, workqueue_work_duration_seconds_bucket_25 
1071, workqueue_work_duration_seconds_bucket_26 
1072, workqueue_work_duration_seconds_bucket_27 
1073, workqueue_work_duration_seconds_bucket_28 
1074, workqueue_work_duration_seconds_bucket_29 
1075, workqueue_work_duration_seconds_bucket_30 
1076, workqueue_work_duration_seconds_bucket_31 
1077, workqueue_work_duration_seconds_bucket_32 
1078, workqueue_work_duration_seconds_bucket_33 
1079, workqueue_work_duration_seconds_bucket_34 
1080, workqueue_work_duration_seconds_bucket_35 
1081, workqueue_work_duration_seconds_bucket_36 
1082, workqueue_work_duration_seconds_bucket_37 
1083, workqueue_work_duration_seconds_bucket_38 
1084, workqueue_work_duration_seconds_bucket_39 
1085, workqueue_work_duration_seconds_bucket_40 
1086, workqueue_work_duration_seconds_bucket_41 
1087, workqueue_work_duration_seconds_bucket_42 
1088, workqueue_work_duration_seconds_bucket_43 
1089, workqueue_work_duration_seconds_bucket_44 
1090, workqueue_work_duration_seconds_bucket_45 
1091, workqueue_work_duration_seconds_bucket_46 
1092, workqueue_work_duration_seconds_bucket_47 
1093, workqueue_work_duration_seconds_bucket_48 
1094, workqueue_work_duration_seconds_bucket_49 
1095, workqueue_work_duration_seconds_bucket_50 
1096, workqueue_work_duration_seconds_bucket_51 
1097, workqueue_work_duration_seconds_bucket_52 
1098, workqueue_work_duration_seconds_bucket_53 
1099, workqueue_work_duration_seconds_bucket_54 
1100, workqueue_work_duration_seconds_bucket_55 
1101, workqueue_work_duration_seconds_bucket_56 
1102, workqueue_work_duration_seconds_bucket_57 
1103, workqueue_work_duration_seconds_bucket_58 
1104, workqueue_work_duration_seconds_bucket_59 
1105, workqueue_work_duration_seconds_bucket_60 
1106, workqueue_work_duration_seconds_bucket_61 
1107, workqueue_work_duration_seconds_bucket_62 
1108, workqueue_work_duration_seconds_bucket_63 
1109, workqueue_work_duration_seconds_bucket_64 
1110, workqueue_work_duration_seconds_bucket_65 
1111, workqueue_work_duration_seconds_bucket_66 
1112, workqueue_work_duration_seconds_bucket_67 
1113, workqueue_work_duration_seconds_bucket_68 
1114, workqueue_work_duration_seconds_bucket_69 
1115, workqueue_work_duration_seconds_bucket_70 
1116, workqueue_work_duration_seconds_bucket_71 
1117, workqueue_work_duration_seconds_bucket_72 
1118, workqueue_work_duration_seconds_bucket_73 
1119, workqueue_work_duration_seconds_bucket_74 
1120, workqueue_work_duration_seconds_bucket_75 
1121, workqueue_work_duration_seconds_bucket_76 
1122, workqueue_work_duration_seconds_bucket_77 
1123, workqueue_work_duration_seconds_bucket_78 
1124, workqueue_work_duration_seconds_bucket_79 
1125, workqueue_work_duration_seconds_bucket_80 
1126, workqueue_work_duration_seconds_bucket_81 
1127, workqueue_work_duration_seconds_bucket_82 
1128, workqueue_work_duration_seconds_bucket_83 
1129, workqueue_work_duration_seconds_bucket_84 
1130, workqueue_work_duration_seconds_bucket_85 
1131, workqueue_work_duration_seconds_bucket_86 
1132, workqueue_work_duration_seconds_bucket_87 
1133, workqueue_work_duration_seconds_bucket_88 
1134, workqueue_work_duration_seconds_bucket_89 
1135, workqueue_work_duration_seconds_bucket_90 
1136, workqueue_work_duration_seconds_bucket_91 
1137, workqueue_work_duration_seconds_bucket_92 
1138, workqueue_work_duration_seconds_bucket_93 
1139, workqueue_work_duration_seconds_bucket_94 
1140, workqueue_work_duration_seconds_bucket_95 
1141, workqueue_work_duration_seconds_bucket_96 
1142, workqueue_work_duration_seconds_bucket_97 
1143, workqueue_work_duration_seconds_bucket_98 
1144, workqueue_work_duration_seconds_bucket_99 
1145, workqueue_work_duration_seconds_bucket_100 
1146, workqueue_work_duration_seconds_bucket_101 
1147, workqueue_work_duration_seconds_bucket_102 
1148, workqueue_work_duration_seconds_bucket_103 
1149, workqueue_work_duration_seconds_bucket_104 
1150, workqueue_work_duration_seconds_bucket_105 
1151, workqueue_work_duration_seconds_bucket_106 
1152, workqueue_work_duration_seconds_bucket_107 
1153, workqueue_work_duration_seconds_bucket_108 
1154, workqueue_work_duration_seconds_bucket_109 
1155, workqueue_work_duration_seconds_bucket_110 
1156, workqueue_work_duration_seconds_bucket_111 
1157, workqueue_work_duration_seconds_bucket_112 
1158, workqueue_work_duration_seconds_bucket_113 
1159, workqueue_work_duration_seconds_bucket_114 
1160, workqueue_work_duration_seconds_bucket_115 
1161, workqueue_work_duration_seconds_bucket_116 
1162, workqueue_work_duration_seconds_bucket_117 
1163, workqueue_work_duration_seconds_bucket_118 
1164, workqueue_work_duration_seconds_bucket_119 
1165, workqueue_work_duration_seconds_bucket_120 
1166, workqueue_work_duration_seconds_bucket_121 
1167, workqueue_work_duration_seconds_bucket_122 
1168, workqueue_work_duration_seconds_bucket_123 
1169, workqueue_work_duration_seconds_bucket_124 
1170, workqueue_work_duration_seconds_bucket_125 
1171, workqueue_work_duration_seconds_bucket_126 
1172, workqueue_work_duration_seconds_bucket_127 
1173, workqueue_work_duration_seconds_bucket_128 
1174, workqueue_work_duration_seconds_bucket_129 
1175, workqueue_work_duration_seconds_bucket_130 
1176, workqueue_work_duration_seconds_bucket_131 
1177, workqueue_work_duration_seconds_bucket_132 
1178, workqueue_work_duration_seconds_bucket_133 
1179, workqueue_work_duration_seconds_bucket_134 
1180, workqueue_work_duration_seconds_bucket_135 
1181, workqueue_work_duration_seconds_bucket_136 
1182, workqueue_work_duration_seconds_bucket_137 
1183, workqueue_work_duration_seconds_bucket_138 
1184, workqueue_work_duration_seconds_bucket_139 
1185, workqueue_work_duration_seconds_bucket_140 
1186, workqueue_work_duration_seconds_bucket_141 
1187, workqueue_work_duration_seconds_bucket_142 
1188, java_lang_memorypool_usagethresholdexceeded_metaspace_0 
1189, java_lang_memorypool_usagethresholdexceeded_metaspace_1 
1190, java_lang_memorypool_usagethresholdexceeded_metaspace_2 
1191, prometheus_http_response_size_bytes_sum_0 
1192, prometheus_http_response_size_bytes_sum_1 
1193, coredns_health_request_duration_seconds_bucket_0 
1194, coredns_health_request_duration_seconds_bucket_1 
1195, coredns_health_request_duration_seconds_bucket_2 
1196, coredns_health_request_duration_seconds_bucket_3 
1197, coredns_health_request_duration_seconds_bucket_4 
1198, coredns_health_request_duration_seconds_bucket_5 
1199, coredns_health_request_duration_seconds_bucket_6 
1200, coredns_health_request_duration_seconds_bucket_7 
1201, coredns_health_request_duration_seconds_bucket_8 
1202, coredns_health_request_duration_seconds_bucket_9 
1203, coredns_health_request_duration_seconds_bucket_10 
1204, coredns_health_request_duration_seconds_bucket_11 
1205, coredns_health_request_duration_seconds_bucket_12 
1206, coredns_health_request_duration_seconds_bucket_13 
1207, coredns_health_request_duration_seconds_bucket_14 
1208, coredns_health_request_duration_seconds_bucket_15 
1209, coredns_health_request_duration_seconds_bucket_16 
1210, coredns_health_request_duration_seconds_bucket_17 
1211, coredns_health_request_duration_seconds_bucket_18 
1212, coredns_health_request_duration_seconds_bucket_19 
1213, coredns_health_request_duration_seconds_bucket_20 
1214, coredns_health_request_duration_seconds_bucket_21 
1215, coredns_health_request_duration_seconds_bucket_22 
1216, coredns_health_request_duration_seconds_bucket_23 
1217, coredns_health_request_duration_seconds_bucket_24 
1218, coredns_health_request_duration_seconds_bucket_25 
1219, coredns_health_request_duration_seconds_bucket_26 
1220, coredns_health_request_duration_seconds_bucket_27 
1221, coredns_health_request_duration_seconds_bucket_28 
1222, coredns_health_request_duration_seconds_bucket_29 
1223, coredns_health_request_duration_seconds_bucket_30 
1224, coredns_health_request_duration_seconds_bucket_31 
1225, coredns_health_request_duration_seconds_bucket_32 
1226, coredns_health_request_duration_seconds_bucket_33 
1227, kafka_topic_partition_replicas_0 
1228, kafka_topic_partition_replicas_1 
1229, kafka_topic_partition_replicas_2 
1230, kafka_topic_partition_replicas_3 
1231, kafka_topic_partition_replicas_4 
1232, kafka_topic_partition_replicas_5 
1233, kafka_topic_partition_replicas_6 
1234, kafka_topic_partition_replicas_7 
1235, kafka_topic_partition_replicas_8 
1236, kafka_topic_partition_replicas_9 
1237, kafka_topic_partition_replicas_10 
1238, kafka_topic_partition_replicas_11 
1239, kafka_topic_partition_replicas_12 
1240, kafka_topic_partition_replicas_13 
1241, kafka_topic_partition_replicas_14 
1242, kafka_topic_partition_replicas_15 
1243, kafka_topic_partition_replicas_16 
1244, kafka_topic_partition_replicas_17 
1245, kafka_topic_partition_replicas_18 
1246, kafka_topic_partition_replicas_19 
1247, kafka_topic_partition_replicas_20 
1248, kafka_topic_partition_replicas_21 
1249, kafka_topic_partition_replicas_22 
1250, kafka_topic_partition_replicas_23 
1251, kafka_topic_partition_replicas_24 
1252, kafka_topic_partition_replicas_25 
1253, kafka_topic_partition_replicas_26 
1254, kafka_topic_partition_replicas_27 
1255, kafka_topic_partition_replicas_28 
1256, kafka_topic_partition_replicas_29 
1257, kafka_topic_partition_replicas_30 
1258, kafka_topic_partition_replicas_31 
1259, kafka_topic_partition_replicas_32 
1260, kafka_topic_partition_replicas_33 
1261, kafka_topic_partition_replicas_34 
1262, kafka_topic_partition_replicas_35 
1263, kafka_topic_partition_replicas_36 
1264, kafka_topic_partition_replicas_37 
1265, kafka_topic_partition_replicas_38 
1266, kafka_topic_partition_replicas_39 
1267, kafka_topic_partition_replicas_40 
1268, kafka_topic_partition_replicas_41 
1269, kafka_topic_partition_replicas_42 
1270, kafka_topic_partition_replicas_43 
1271, kafka_topic_partition_replicas_44 
1272, kafka_topic_partition_replicas_45 
1273, kafka_topic_partition_replicas_46 
1274, kafka_topic_partition_replicas_47 
1275, kafka_topic_partition_replicas_48 
1276, kafka_topic_partition_replicas_49 
1277, kafka_topic_partition_replicas_50 
1278, go_memstats_heap_released_bytes_0 
1279, go_memstats_heap_released_bytes_1 
1280, go_memstats_heap_released_bytes_2 
1281, go_memstats_heap_released_bytes_3 
1282, go_memstats_heap_released_bytes_4 
1283, go_memstats_heap_released_bytes_5 
1284, go_memstats_heap_released_bytes_6 
1285, go_memstats_heap_released_bytes_7 
1286, go_memstats_heap_released_bytes_8 
1287, prometheus_tsdb_head_gc_duration_seconds_count_0 
1288, java_lang_operatingsystem_processcpuload_0 
1289, java_lang_operatingsystem_processcpuload_1 
1290, java_lang_operatingsystem_processcpuload_2 
1291, java_lang_memorypool_init_peakusage_code_cache_0 
1292, java_lang_memorypool_init_peakusage_code_cache_1 
1293, java_lang_memorypool_init_peakusage_code_cache_2 
1294, prometheus_rule_evaluation_duration_seconds_sum_0 
1295, java_lang_memorypool_init_peakusage_g1_survivor_space_0 
1296, java_lang_memorypool_init_peakusage_g1_survivor_space_1 
1297, java_lang_memorypool_init_peakusage_g1_survivor_space_2 
1298, apiserver_client_certificate_expiration_seconds_bucket_0 
1299, apiserver_client_certificate_expiration_seconds_bucket_1 
1300, apiserver_client_certificate_expiration_seconds_bucket_2 
1301, apiserver_client_certificate_expiration_seconds_bucket_3 
1302, apiserver_client_certificate_expiration_seconds_bucket_4 
1303, apiserver_client_certificate_expiration_seconds_bucket_5 
1304, apiserver_client_certificate_expiration_seconds_bucket_6 
1305, apiserver_client_certificate_expiration_seconds_bucket_7 
1306, apiserver_client_certificate_expiration_seconds_bucket_8 
1307, apiserver_client_certificate_expiration_seconds_bucket_9 
1308, apiserver_client_certificate_expiration_seconds_bucket_10 
1309, apiserver_client_certificate_expiration_seconds_bucket_11 
1310, apiserver_client_certificate_expiration_seconds_bucket_12 
1311, apiserver_client_certificate_expiration_seconds_bucket_13 
1312, apiserver_client_certificate_expiration_seconds_bucket_14 
1313, java_lang_threading_totalstartedthreadcount_0 
1314, java_lang_threading_totalstartedthreadcount_1 
1315, java_lang_threading_totalstartedthreadcount_2 
1316, prometheus_target_interval_length_seconds_count_0 
1317, prometheus_target_interval_length_seconds_count_1 
1318, java_lang_memorypool_committed_usage_compressed_class_space_0 
1319, java_lang_memorypool_committed_usage_compressed_class_space_1 
1320, java_lang_memorypool_committed_usage_compressed_class_space_2 
1321, node_timex_loop_time_constant_0 
1322, node_timex_loop_time_constant_1 
1323, node_timex_loop_time_constant_2 
1324, node_memory_Hugepagesize_bytes_0 
1325, node_memory_Hugepagesize_bytes_1 
1326, node_memory_Hugepagesize_bytes_2 
1327, kube_secret_type_0 
1328, kube_secret_type_1 
1329, kube_secret_type_2 
1330, kube_secret_type_3 
1331, kube_secret_type_4 
1332, kube_secret_type_5 
1333, kube_secret_type_6 
1334, kube_secret_type_7 
1335, kube_secret_type_8 
1336, kube_secret_type_9 
1337, kube_secret_type_10 
1338, kube_secret_type_11 
1339, kube_secret_type_12 
1340, kube_secret_type_13 
1341, kube_secret_type_14 
1342, kube_secret_type_15 
1343, kube_secret_type_16 
1344, kube_secret_type_17 
1345, kube_secret_type_18 
1346, kube_secret_type_19 
1347, kube_secret_type_20 
1348, kube_secret_type_21 
1349, kube_secret_type_22 
1350, kube_secret_type_23 
1351, kube_secret_type_24 
1352, kube_secret_type_25 
1353, kube_secret_type_26 
1354, kube_secret_type_27 
1355, kube_secret_type_28 
1356, kube_secret_type_29 
1357, kube_secret_type_30 
1358, kube_secret_type_31 
1359, kube_secret_type_32 
1360, kube_secret_type_33 
1361, kube_secret_type_34 
1362, kube_secret_type_35 
1363, kube_secret_type_36 
1364, kube_secret_type_37 
1365, kube_secret_type_38 
1366, kube_secret_type_39 
1367, kube_secret_type_40 
1368, kube_secret_type_41 
1369, kube_secret_type_42 
1370, kube_secret_type_43 
1371, kube_secret_type_44 
1372, kube_secret_type_45 
1373, kube_secret_type_46 
1374, prometheus_tsdb_compaction_chunk_size_bytes_bucket_0 
1375, prometheus_tsdb_compaction_chunk_size_bytes_bucket_1 
1376, prometheus_tsdb_compaction_chunk_size_bytes_bucket_2 
1377, prometheus_tsdb_compaction_chunk_size_bytes_bucket_3 
1378, prometheus_tsdb_compaction_chunk_size_bytes_bucket_4 
1379, prometheus_tsdb_compaction_chunk_size_bytes_bucket_5 
1380, prometheus_tsdb_compaction_chunk_size_bytes_bucket_6 
1381, prometheus_tsdb_compaction_chunk_size_bytes_bucket_7 
1382, prometheus_tsdb_compaction_chunk_size_bytes_bucket_8 
1383, prometheus_tsdb_compaction_chunk_size_bytes_bucket_9 
1384, prometheus_tsdb_compaction_chunk_size_bytes_bucket_10 
1385, prometheus_tsdb_compaction_chunk_size_bytes_bucket_11 
1386, prometheus_tsdb_compaction_chunk_size_bytes_bucket_12 
1387, kafka_server_fetcherlagmetrics_total_consumerlag_clientid_replicafetcherthread_0_2_topic_consumer_offsets_partition_9_value_0 
1388, kafka_server_fetcherlagmetrics_total_consumerlag_clientid_replicafetcherthread_0_2_topic_consumer_offsets_partition_9_value_1 
1389, kafka_server_sessionexpirelistener_total_zookeeperdisconnectspersec_oneminuterate_0 
1390, kafka_server_sessionexpirelistener_total_zookeeperdisconnectspersec_oneminuterate_1 
1391, kafka_server_sessionexpirelistener_total_zookeeperdisconnectspersec_oneminuterate_2 
1392, kafka_server_fetcherlagmetrics_total_consumerlag_clientid_replicafetcherthread_0_0_topic_consumer_offsets_partition_1_value_0 
1393, kafka_server_fetcherlagmetrics_total_consumerlag_clientid_replicafetcherthread_0_0_topic_consumer_offsets_partition_1_value_1 
1394, kafka_server_delayedoperationpurgatory_purgatorysize_fetch_value_0 
1395, kafka_server_delayedoperationpurgatory_purgatorysize_fetch_value_1 
1396, kafka_server_delayedoperationpurgatory_purgatorysize_fetch_value_2 
1397, node_netstat_Tcp_InErrs_0 
1398, node_netstat_Tcp_InErrs_1 
1399, node_netstat_Tcp_InErrs_2 
1400, java_lang_memorypool_committed_collectionusage_g1_old_gen_0 
1401, java_lang_memorypool_committed_collectionusage_g1_old_gen_1 
1402, java_lang_memorypool_committed_collectionusage_g1_old_gen_2 
1403, node_memory_NFS_Unstable_bytes_0 
1404, node_memory_NFS_Unstable_bytes_1 
1405, node_memory_NFS_Unstable_bytes_2 
1406, kube_node_status_capacity_memory_bytes_0 
1407, kube_node_status_capacity_memory_bytes_1 
1408, kube_node_status_capacity_memory_bytes_2 
1409, kube_node_status_capacity_memory_bytes_3 
1410, java_lang_memorypool_max_usage_g1_survivor_space_0 
1411, java_lang_memorypool_max_usage_g1_survivor_space_1 
1412, java_lang_memorypool_max_usage_g1_survivor_space_2 
1413, prometheus_engine_queries_concurrent_max_0 
1414, prometheus_rule_group_iterations_missed_total_0 
1415, kafka_server_fetcherlagmetrics_total_consumerlag_clientid_replicafetcherthread_0_2_topic_consumer_offsets_partition_21_value_0 
1416, kafka_server_fetcherlagmetrics_total_consumerlag_clientid_replicafetcherthread_0_2_topic_consumer_offsets_partition_21_value_1 
1417, kafka_server_sessionexpirelistener_total_zookeeperauthfailurespersec_oneminuterate_0 
1418, kafka_server_sessionexpirelistener_total_zookeeperauthfailurespersec_oneminuterate_1 
1419, kafka_server_sessionexpirelistener_total_zookeeperauthfailurespersec_oneminuterate_2 
1420, node_memory_Mapped_bytes_0 
1421, node_memory_Mapped_bytes_1 
1422, node_memory_Mapped_bytes_2 
1423, java_lang_memorypool_usagethreshold_g1_old_gen_0 
1424, java_lang_memorypool_usagethreshold_g1_old_gen_1 
1425, java_lang_memorypool_usagethreshold_g1_old_gen_2 
1426, node_vmstat_pgpgout_0 
1427, node_vmstat_pgpgout_1 
1428, node_vmstat_pgpgout_2 
1429, kafka_log_log_size_0 
1430, kafka_log_log_size_1 
1431, kafka_log_log_size_2 
1432, kafka_log_log_size_3 
1433, kafka_log_log_size_4 
1434, kafka_log_log_size_5 
1435, kafka_log_log_size_6 
1436, kafka_log_log_size_7 
1437, kafka_log_log_size_8 
1438, kafka_log_log_size_9 
1439, kafka_log_log_size_10 
1440, kafka_log_log_size_11 
1441, kafka_log_log_size_12 
1442, kafka_log_log_size_13 
1443, kafka_log_log_size_14 
1444, kafka_log_log_size_15 
1445, kafka_log_log_size_16 
1446, kafka_log_log_size_17 
1447, kafka_log_log_size_18 
1448, kafka_log_log_size_19 
1449, kafka_log_log_size_20 
1450, kafka_log_log_size_21 
1451, kafka_log_log_size_22 
1452, kafka_log_log_size_23 
1453, kafka_log_log_size_24 
1454, kafka_log_log_size_25 
1455, kafka_log_log_size_26 
1456, kafka_log_log_size_27 
1457, kafka_log_log_size_28 
1458, kafka_log_log_size_29 
1459, kafka_log_log_size_30 
1460, kafka_log_log_size_31 
1461, kafka_log_log_size_32 
1462, kafka_log_log_size_33 
1463, kafka_log_log_size_34 
1464, kafka_log_log_size_35 
1465, kafka_log_log_size_36 
1466, kafka_log_log_size_37 
1467, kafka_log_log_size_38 
1468, kafka_log_log_size_39 
1469, kafka_log_log_size_40 
1470, kafka_log_log_size_41 
1471, kafka_log_log_size_42 
1472, kafka_log_log_size_43 
1473, kafka_log_log_size_44 
1474, kafka_log_log_size_45 
1475, kafka_log_log_size_46 
1476, kafka_log_log_size_47 
1477, kafka_log_log_size_48 
1478, kafka_log_log_size_49 
1479, kafka_log_log_size_50 
1480, kafka_log_log_size_51 
1481, kafka_log_log_size_52 
1482, kafka_log_log_size_53 
1483, kafka_log_log_size_54 
1484, kafka_log_log_size_55 
1485, kafka_log_log_size_56 
1486, kafka_log_log_size_57 
1487, kafka_log_log_size_58 
1488, kafka_log_log_size_59 
1489, kafka_log_log_size_60 
1490, kafka_log_log_size_61 
1491, kafka_log_log_size_62 
1492, kafka_log_log_size_63 
1493, kafka_log_log_size_64 
1494, kafka_log_log_size_65 
1495, kafka_log_log_size_66 
1496, kafka_log_log_size_67 
1497, kafka_log_log_size_68 
1498, kafka_log_log_size_69 
1499, kafka_log_log_size_70 
1500, kafka_log_log_size_71 
1501, kafka_log_log_size_72 
1502, kafka_log_log_size_73 
1503, kafka_log_log_size_74 
1504, kafka_log_log_size_75 
1505, kafka_log_log_size_76 
1506, kafka_log_log_size_77 
1507, kafka_log_log_size_78 
1508, kafka_log_log_size_79 
1509, kafka_log_log_size_80 
1510, kafka_log_log_size_81 
1511, kafka_log_log_size_82 
1512, kafka_log_log_size_83 
1513, kafka_log_log_size_84 
1514, kafka_log_log_size_85 
1515, kafka_log_log_size_86 
1516, kafka_log_log_size_87 
1517, kafka_log_log_size_88 
1518, kafka_log_log_size_89 
1519, kafka_log_log_size_90 
1520, kafka_log_log_size_91 
1521, kafka_log_log_size_92 
1522, kafka_log_log_size_93 
1523, kafka_log_log_size_94 
1524, kafka_log_log_size_95 
1525, kafka_log_log_size_96 
1526, kafka_log_log_size_97 
1527, kafka_log_log_size_98 
1528, kafka_log_log_size_99 
1529, kafka_log_log_size_100 
1530, kafka_log_log_size_101 
1531, kafka_log_log_size_102 
1532, kafka_log_log_size_103 
1533, kafka_log_log_size_104 
1534, kafka_log_log_size_105 
1535, kafka_log_log_size_106 
1536, kafka_log_log_size_107 
1537, kafka_log_log_size_108 
1538, kafka_log_log_size_109 
1539, kafka_log_log_size_110 
1540, kafka_log_log_size_111 
1541, kafka_log_log_size_112 
1542, kafka_log_log_size_113 
1543, kafka_log_log_size_114 
1544, kafka_log_log_size_115 
1545, kafka_log_log_size_116 
1546, kafka_log_log_size_117 
1547, kafka_log_log_size_118 
1548, kafka_log_log_size_119 
1549, kafka_log_log_size_120 
1550, kafka_log_log_size_121 
1551, kafka_log_log_size_122 
1552, kafka_log_log_size_123 
1553, kafka_log_log_size_124 
1554, kafka_log_log_size_125 
1555, kafka_log_log_size_126 
1556, kafka_log_log_size_127 
1557, kafka_log_log_size_128 
1558, kafka_log_log_size_129 
1559, kafka_log_log_size_130 
1560, kafka_log_log_size_131 
1561, kafka_log_log_size_132 
1562, kafka_log_log_size_133 
1563, kafka_log_log_size_134 
1564, kafka_log_log_size_135 
1565, kafka_log_log_size_136 
1566, kafka_log_log_size_137 
1567, kafka_log_log_size_138 
1568, kafka_log_log_size_139 
1569, kafka_log_log_size_140 
1570, kafka_log_log_size_141 
1571, kafka_log_log_size_142 
1572, kafka_log_log_size_143 
1573, kafka_log_log_size_144 
1574, kafka_log_log_size_145 
1575, kafka_log_log_size_146 
1576, kafka_log_log_size_147 
1577, kafka_log_log_size_148 
1578, kafka_log_log_size_149 
1579, kafka_log_log_size_150 
1580, node_intr_total_0 
1581, node_intr_total_1 
1582, node_intr_total_2 
1583, prometheus_tsdb_head_gc_duration_seconds_sum_0 
1584, kafka_server_request_queue_size_0 
1585, kafka_server_request_queue_size_1 
1586, kafka_server_request_queue_size_2 
1587, java_lang_garbagecollector_committed_lastgcinfo_memoryusagebeforegc_g1_young_generation_key_g1_eden_space_0 
1588, java_lang_garbagecollector_committed_lastgcinfo_memoryusagebeforegc_g1_young_generation_key_g1_eden_space_1 
1589, java_lang_garbagecollector_committed_lastgcinfo_memoryusagebeforegc_g1_young_generation_key_g1_eden_space_2 
1590, kube_pod_container_status_waiting_reason_0 
1591, kube_pod_container_status_waiting_reason_1 
1592, kube_pod_container_status_waiting_reason_2 
1593, kube_pod_container_status_waiting_reason_3 
1594, kube_pod_container_status_waiting_reason_4 
1595, kube_pod_container_status_waiting_reason_5 
1596, kube_pod_container_status_waiting_reason_6 
1597, kube_pod_container_status_waiting_reason_7 
1598, kube_pod_container_status_waiting_reason_8 
1599, kube_pod_container_status_waiting_reason_9 
1600, kube_pod_container_status_waiting_reason_10 
1601, kube_pod_container_status_waiting_reason_11 
1602, kube_pod_container_status_waiting_reason_12 
1603, kube_pod_container_status_waiting_reason_13 
1604, kube_pod_container_status_waiting_reason_14 
1605, kube_pod_container_status_waiting_reason_15 
1606, kube_pod_container_status_waiting_reason_16 
1607, kube_pod_container_status_waiting_reason_17 
1608, kube_pod_container_status_waiting_reason_18 
1609, kube_pod_container_status_waiting_reason_19 
1610, kube_pod_container_status_waiting_reason_20 
1611, kube_pod_container_status_waiting_reason_21 
1612, kube_pod_container_status_waiting_reason_22 
1613, kube_pod_container_status_waiting_reason_23 
1614, kube_pod_container_status_waiting_reason_24 
1615, kube_pod_container_status_waiting_reason_25 
